"Category","Average consumption adequacy of Kilocalories (kcal) (ADM2_EN)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"Balaka",84.62
1,"Balaka",84.62
2,"Blantyre",88.02
3,"Blantyre",88.02
4,"Blantyre City",92.46
5,"Blantyre City",92.46
6,"Chikwawa",86.71
7,"Chikwawa",86.71
8,"Chiradzulu",90.45
9,"Chiradzulu",90.45
10,"Chitipa",90.05
11,"Chitipa",90.05
12,"Dedza",83.88
13,"Dedza",83.88
14,"Dowa",83.55
15,"Dowa",83.55
16,"Karonga",88.78
17,"Karonga",88.78
18,"Kasungu",87.22
19,"Kasungu",87.22
20,"Likoma",93.77
21,"Likoma",93.77
22,"Lilongwe",84.88
23,"Lilongwe",84.88
24,"Lilongwe City",90.79
25,"Lilongwe City",90.79
26,"Machinga",86.29
27,"Machinga",86.29
28,"Mangochi",86.86
29,"Mangochi",86.86
30,"Mchinji",87.85
31,"Mchinji",87.85
32,"Mulanje",90.55
33,"Mulanje",90.55
34,"Mwanza",87.06
35,"Mwanza",87.06
36,"Mzimba",88.48
37,"Mzimba",88.48
38,"Mzuzu City",89.73
39,"Mzuzu City",89.73
40,"Neno",90.74
41,"Neno",90.74
42,"Nkhata Bay",91.45
43,"Nkhata Bay",91.45
44,"Nkhotakota",87.14
45,"Nkhotakota",87.14
46,"Nsanje",85.21
47,"Nsanje",85.21
48,"Ntcheu",87.39
49,"Ntcheu",87.39
50,"Ntchisi",88.28
51,"Ntchisi",88.28
52,"Phalombe",87.51
53,"Phalombe",87.51
54,"Rumphi",93.05
55,"Rumphi",93.05
56,"Salima",83.7
57,"Salima",83.7
58,"Thyolo",89.69
59,"Thyolo",89.69
60,"Zomba",89.61
61,"Zomba",89.61
62,"Zomba City",92.79
63,"Zomba City",92.79
